case_id,storm_id,name,basin,episode_index,episode_start,episode_end,closest_approach_time,reference_time,reference_event,latitude,longitude,nearest_coast_latitude,nearest_coast_longitude,minimum_coast_distance_km,lifetime_vmax_kt,coastal_episode_vmax_kt,closest_approach_vmax_kt,reference_vmax_kt,crossing_vmax_kt,landfall_vmax_kt,coastline_crossing,crossing_count,landfall_crossing,landfall_count,coastline_exit,exit_count,tangent_crossing_count,r34_contact,r50_contact,r64_contact,r34_contact_hours,coastal_contact_span_hours,tier,primary_sample,selection_method,center_surface_at_closest_approach,center_surface_at_reference,nature_at_closest_approach,usa_status_at_closest_approach,nature_at_reference,usa_status_at_reference,track_types,provisional_track,r34_coverage_fraction,usa_wind_coverage_fraction,qc_status
2022304N16287-CE01,2022304N16287,LISA,NA,1,2022-11-01 22:20:00+00:00,2022-11-02 21:15:00+00:00,2022-11-02 21:15:00+00:00,2022-11-02 18:36:22.642462+00:00,landfall,17.320310412981698,-87.80100454311736,17.320310412981698,-87.80100454311736,0.0,80.0,80.0,79.5,75.66666666666667,79.5,79.5,True,3,True,3,True,2,1,True,True,True,17.800595238194443,22.916666666666668,A,True,landfall_crossing+wind_radius,sea,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022299N11134-CE01,2022299N11134,NALGAE,WP,1,2022-10-31 08:24:00+00:00,2022-11-03 00:00:00+00:00,2022-11-02 21:45:00+00:00,2022-11-02 21:42:18.007642+00:00,landfall,22.100049503062653,113.52949980620144,22.100049503062653,113.52949980620144,0.0,75.0,75.0,23.75,23.75,23.75,23.75,True,2,True,2,True,1,0,True,True,False,52.475,63.6,B,True,landfall_crossing+wind_radius+distance_proxy,land,coastline,TS,TD,TS,TD,main,False,0.8522727272727273,1.0,passed
2022311N21293-CE01,2022311N21293,NICOLE,NA,1,2022-11-09 10:00:00+00:00,2022-11-10 08:00:00+00:00,2022-11-10 00:00:00+00:00,2022-11-09 16:42:12.523458+00:00,landfall,26.500070787701887,-77.0406958051704,26.500070787701887,-77.0406958051704,0.0,65.0,65.0,65.0,59.5,65.0,65.0,True,8,True,8,True,8,3,True,True,True,18.84880952388889,22.0,A,True,landfall_crossing+wind_radius,land,coastline,TS,HU,TS,TS,main,False,1.0,1.0,passed
2023036S12163-CE02,2023036S12163,GABRIELLE,SP,2,2023-02-10 17:04:36.923076+00:00,2023-02-12 00:00:00+00:00,2023-02-11 10:52:30+00:00,2023-02-11 10:52:30+00:00,coastal_approach,-29.187930433750044,167.9370232141685,-29.136278000000008,167.934972,5.728552220779635,90.0,77.0,56.125,56.125,,,False,0,False,0,False,0,0,True,True,False,30.377622377777783,30.92307692333333,B,True,wind_radius,sea,sea,SS,SS,SS,SS,main,False,0.863013698630137,0.863013698630137,passed
2023036S12117-CE02,2023036S12117,FREDDY,SI,2,2023-02-21 09:00:00+00:00,2023-02-21 16:17:08.571428+00:00,2023-02-21 16:17:08.571428+00:00,2023-02-21 16:12:04.271100+00:00,landfall,-20.98033337200677,48.45995458992495,-20.98033337200677,48.45995458992495,0.0,140.0,98.0,80.71428571428571,80.71428571428571,80.71428571428571,80.71428571428571,True,1,True,1,False,0,0,True,True,True,7.071428571249999,7.285714285555556,A,True,landfall_crossing+wind_radius,land,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2023036S12117-CE03,2023036S12117,FREDDY,SI,3,2023-02-24 03:00:00+00:00,2023-02-24 11:15:00+00:00,2023-02-24 11:15:00+00:00,2023-02-24 11:36:05.227781+00:00,landfall,-22.400032060698024,35.539854766994694,-22.400032060698024,35.539854766994694,0.0,140.0,65.0,52.0,52.0,52.0,52.0,True,1,True,1,False,0,0,True,True,False,8.25,8.25,B,True,landfall_crossing+wind_radius,sea,coastline,TS,TS,TS,TS,main,False,1.0,1.0,passed
2023055S14184-CE01,2023055S14184,JUDY,SP,1,2023-02-27 07:30:00+00:00,2023-03-02 05:08:34.285714+00:00,2023-02-28 14:34:17.142857+00:00,2023-02-28 09:54:35.875633+00:00,landfall,-15.18199647787202,168.2,-15.18199647787202,168.2,0.0,110.0,110.0,79.28571428571429,71.42857142857143,109.75,109.75,True,6,True,6,True,6,0,True,True,True,62.28571428569444,69.64285714277777,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,0.9668508287292816,1.0,passed
2023059S15149-CE01,2023059S15149,KEVIN,SP,1,2023-03-02 12:00:00+00:00,2023-03-04 09:48:00+00:00,2023-03-03 13:20:00+00:00,2023-03-03 13:26:30.178040+00:00,landfall,-18.840530545611863,168.98789976326276,-18.840530545611863,168.98789976326276,0.0,135.0,135.0,103.55555555555556,103.55555555555556,103.55555555555556,103.55555555555556,True,1,True,1,True,1,0,True,True,True,45.133333333333326,45.8,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2023036S12117-CE05,2023036S12117,FREDDY,SI,5,2023-03-07 22:00:00+00:00,2023-03-08 08:15:00+00:00,2023-03-08 02:24:00+00:00,2023-03-08 02:24:00+00:00,coastal_approach,-21.96004477261772,40.75989896364822,-22.313806,40.383278,55.173089238158255,140.0,95.0,89.4,89.4,,,False,0,False,0,False,0,0,True,True,False,10.25,10.25,B,True,wind_radius,sea,sea,TS,TY,TS,TY,main,False,1.0,1.0,passed
2023036S12117-CE06,2023036S12117,FREDDY,SI,6,2023-03-10 15:00:00+00:00,2023-03-11 18:00:00+00:00,2023-03-11 18:00:00+00:00,2023-03-11 18:17:15.627884+00:00,landfall,-17.780830718028394,37.18080247284273,-17.780830718028394,37.18080247284273,0.0,140.0,100.0,95.0,95.0,95.0,95.0,True,1,True,1,False,0,0,True,True,True,27.0,27.0,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
